,Genero,Peso,Altura
7620,Mujer,61.235,162.40200000000004
1837,Hombre,97.432,181.908
3311,Hombre,73.324,172.459
9478,Mujer,55.19300000000001,157.748
7805,Mujer,56.886,151.798
6737,Mujer,59.834,158.623
4413,Hombre,77.618,172.705
6018,Mujer,68.889,169.225
5165,Mujer,53.874,155.487
600,Hombre,83.24799999999998,177.908
7822,Mujer,60.75100000000001,166.041
188,Hombre,81.27199999999998,166.769
4503,Hombre,95.204,182.764
7672,Mujer,73.255,164.09
7332,Mujer,62.572,167.602
2278,Hombre,87.171,178.373
7807,Mujer,66.315,157.795
5191,Mujer,40.979,149.083
9708,Mujer,41.26300000000001,146.17
5571,Mujer,68.76,159.95600000000005
5136,Mujer,61.065,159.984
7009,Mujer,59.284,160.903
6249,Mujer,63.006,164.581
274,Hombre,84.13799999999998,170.66099999999997
4178,Hombre,76.04899999999998,165.583
980,Hombre,96.503,178.71200000000005
282,Hombre,83.469,166.80700000000004
5357,Mujer,53.779,156.67600000000004
5339,Mujer,57.11600000000001,156.43
8714,Mujer,51.698,157.046
111,Hombre,90.939,173.28400000000005
5671,Mujer,73.497,169.325
9566,Mujer,31.783,145.14
8905,Mujer,46.433,148.036
8779,Mujer,66.137,167.597
7518,Mujer,64.17,164.447
8629,Mujer,78.48,174.042
5870,Mujer,69.82600000000001,169.857
7318,Mujer,60.035,157.401
6733,Mujer,64.965,167.06099999999995
7225,Mujer,53.303,155.862
1910,Hombre,73.616,169.21400000000003
2328,Hombre,90.38,171.06599999999997
9796,Mujer,63.708,160.93200000000004
7591,Mujer,57.215,158.92700000000005
7526,Mujer,63.736,164.74599999999995
9445,Mujer,57.803,156.14
3986,Hombre,85.68299999999998,179.791
2443,Hombre,90.396,178.327
9039,Mujer,70.075,168.729
6278,Mujer,63.995,163.54
6930,Mujer,80.265,176.153
6637,Mujer,52.853,159.062
3909,Hombre,111.793,195.127
9953,Mujer,60.40600000000001,154.833
6556,Mujer,54.343,153.946
4604,Hombre,87.969,169.146
3109,Hombre,70.957,168.511
6306,Mujer,50.518,154.459
9616,Mujer,56.235,154.67600000000004
3863,Hombre,86.669,184.095
8414,Mujer,65.165,159.613
644,Hombre,66.789,155.755
6934,Mujer,50.913,154.361
4369,Hombre,81.499,175.782
1646,Hombre,94.942,181.06
8591,Mujer,71.157,169.753
3366,Hombre,72.624,166.24599999999995
7846,Mujer,65.986,169.11900000000003
7208,Mujer,48.43899999999999,154.119
1772,Hombre,87.26799999999999,175.73
4912,Hombre,84.023,168.82
7624,Mujer,69.958,164.475
6104,Mujer,65.241,167.602
7788,Mujer,56.967,155.019
9633,Mujer,91.056,177.523
8934,Mujer,69.333,172.203
3357,Hombre,88.18799999999997,177.153
8684,Mujer,57.823,168.429
863,Hombre,93.979,182.263
2334,Hombre,61.429,150.063
3954,Hombre,91.575,188.435
1958,Hombre,77.89,176.43900000000005
2687,Hombre,64.25,164.30599999999995
5810,Mujer,78.815,173.07
4057,Hombre,94.738,180.98
3211,Hombre,86.684,171.206
3852,Hombre,86.65899999999998,175.324
585,Hombre,83.93799999999997,177.37599999999995
7090,Mujer,62.117,164.035
9385,Mujer,64.782,161.165
9089,Mujer,73.02199999999998,169.487
2886,Hombre,100.752,185.992
712,Hombre,86.376,177.64700000000005
7464,Mujer,53.574,153.46200000000005
3520,Hombre,87.54700000000003,179.88
6808,Mujer,65.255,160.001
7298,Mujer,63.524,162.278
7336,Mujer,57.669,158.215
7059,Mujer,47.237,155.477
51,Hombre,91.315,178.363
8247,Mujer,49.79600000000001,151.635
207,Hombre,79.164,166.90400000000002
1553,Hombre,86.971,173.525
1871,Hombre,91.686,180.821
8391,Mujer,65.355,166.239
2717,Hombre,104.833,186.647
7450,Mujer,58.133,154.668
5386,Mujer,42.145,146.138
671,Hombre,82.74,174.07299999999995
3911,Hombre,72.812,169.44299999999996
7301,Mujer,61.489,165.58
237,Hombre,80.392,171.85299999999995
9751,Mujer,62.162,166.513
7348,Mujer,72.56,170.013
7776,Mujer,56.607,158.707
4799,Hombre,80.87100000000002,173.05700000000004
1488,Hombre,78.247,164.958
3878,Hombre,78.225,174.81400000000005
1763,Hombre,78.594,166.66
9402,Mujer,61.88800000000001,163.648
8942,Mujer,55.784,156.13
4524,Hombre,94.165,184.822
2599,Hombre,75.983,166.513
7271,Mujer,62.49100000000001,162.91899999999995
6030,Mujer,63.883,167.048
9907,Mujer,58.58,157.22299999999996
2867,Hombre,87.781,172.77700000000004
1305,Hombre,88.728,175.18400000000003
6982,Mujer,35.144,144.19899999999996
4821,Hombre,71.563,167.333
2587,Hombre,77.557,171.595
4694,Hombre,77.59,172.149
8738,Mujer,63.93,159.588
1490,Hombre,93.57,175.399
2611,Hombre,71.101,166.37599999999995
1030,Hombre,105.396,185.555
7243,Mujer,63.913,157.328
6270,Mujer,60.611,170.25099999999995
5808,Mujer,52.615,151.804
6648,Mujer,66.942,162.975
9746,Mujer,52.249,157.7
121,Hombre,81.343,173.791
2502,Hombre,90.252,180.328
2788,Hombre,77.34100000000002,171.622
1802,Hombre,90.764,181.923
1434,Hombre,86.523,175.577
3187,Hombre,70.744,168.93400000000003
5169,Mujer,61.48,161.626
5776,Mujer,74.066,175.426
8207,Mujer,78.555,171.455
3421,Hombre,84.32700000000001,173.237
7558,Mujer,56.28100000000001,155.644
5163,Mujer,47.179,147.703
8274,Mujer,58.381,163.181
6497,Mujer,63.661,159.317
6538,Mujer,59.182,159.624
1934,Hombre,88.478,181.368
4368,Hombre,86.113,174.641
169,Hombre,90.814,177.363
3200,Hombre,83.726,177.31
362,Hombre,71.258,164.17
5999,Mujer,61.392,165.991
8690,Mujer,59.25100000000001,160.386
5523,Mujer,77.20100000000002,172.537
1650,Hombre,70.493,170.877
5952,Mujer,66.48,169.273
2950,Hombre,89.646,174.391
3818,Hombre,88.477,177.565
607,Hombre,93.099,177.175
5817,Mujer,57.312,159.159
5023,Mujer,64.888,165.43
5702,Mujer,67.824,167.222
4932,Hombre,80.885,173.02
8099,Mujer,51.483,153.457
478,Hombre,90.556,181.484
3193,Hombre,98.706,184.091
2394,Hombre,86.58200000000002,177.535
5645,Mujer,51.877,148.15200000000004
2493,Hombre,87.354,173.945
4024,Hombre,83.169,171.097
5113,Mujer,52.128,153.855
8807,Mujer,46.632,153.747
4772,Hombre,99.136,188.598
2508,Hombre,74.044,158.236
5676,Mujer,53.02,160.629
7196,Mujer,55.591,149.636
7640,Mujer,46.915,151.60299999999995
1880,Hombre,71.264,162.089
5095,Mujer,63.87300000000001,157.42700000000005
8082,Mujer,58.678,157.129
4762,Hombre,81.304,172.416
9215,Mujer,66.313,168.838
6199,Mujer,55.027,156.485
6968,Mujer,55.941,160.82299999999995
1577,Hombre,57.971,153.951
2914,Hombre,92.668,172.833
9902,Mujer,55.994,166.24400000000003
6225,Mujer,54.604,156.744
1775,Hombre,80.229,170.768
4802,Hombre,79.074,169.581
2108,Hombre,94.803,189.465
7954,Mujer,60.94300000000001,165.804
7865,Mujer,56.103,157.276
8930,Mujer,54.979,157.785
5178,Mujer,64.163,164.709
1642,Hombre,94.882,180.046
6168,Mujer,57.234,152.623
3012,Hombre,83.368,171.953
5675,Mujer,59.545,165.372
6983,Mujer,60.119,162.106
6273,Mujer,65.071,159.702
5081,Mujer,60.145,155.705
7354,Mujer,69.563,164.66
6746,Mujer,55.97,157.356
4959,Hombre,98.679,186.902
9012,Mujer,55.471,156.69299999999996
3150,Hombre,85.01799999999999,171.044
3782,Hombre,69.734,175.15599999999995
2597,Hombre,81.679,175.15200000000004
8765,Mujer,74.491,174.33900000000003
6859,Mujer,52.762,147.246
8753,Mujer,61.087,164.46900000000005
3385,Hombre,91.067,178.39700000000005
8816,Mujer,62.432,159.885
1142,Hombre,73.154,168.813
4811,Hombre,85.399,183.471
2166,Hombre,89.867,186.781
2956,Hombre,92.103,183.549
5961,Mujer,68.506,161.246
2110,Hombre,90.53,185.389
7498,Mujer,68.403,164.985
781,Hombre,90.247,178.595
103,Hombre,80.476,172.732
2039,Hombre,81.574,172.162
2472,Hombre,92.573,177.40200000000004
6093,Mujer,68.845,162.043
1262,Hombre,86.87899999999998,177.893
3040,Hombre,75.263,172.368
7812,Mujer,50.349,148.92
4545,Hombre,88.874,176.709
7494,Mujer,61.56,160.733
6033,Mujer,58.633,163.41
7292,Mujer,55.621,161.792
4156,Hombre,92.249,176.487
1605,Hombre,79.568,168.59
5744,Mujer,59.21,154.667
1645,Hombre,80.559,170.551
5447,Mujer,55.898,157.68
9485,Mujer,59.023,164.94299999999996
3873,Hombre,70.368,165.553
3355,Hombre,81.585,176.28400000000005
3182,Hombre,91.834,178.429
5313,Mujer,51.49800000000001,157.153
3621,Hombre,96.193,176.157
1049,Hombre,84.713,178.476
5672,Mujer,63.56100000000001,165.715
5878,Mujer,53.06800000000001,149.80700000000004
1824,Hombre,85.205,176.22299999999996
1185,Hombre,83.10799999999998,172.52900000000002
1115,Hombre,104.348,184.7
828,Hombre,72.079,169.007
342,Hombre,86.978,176.873
709,Hombre,83.459,176.263
642,Hombre,80.048,166.673
9379,Mujer,63.24100000000001,164.46099999999996
1554,Hombre,95.736,179.71400000000003
3704,Hombre,74.888,170.69799999999995
2403,Hombre,93.706,179.736
3935,Hombre,83.412,174.25400000000005
4597,Hombre,90.064,185.149
2590,Hombre,85.78200000000002,176.011
7695,Mujer,75.339,168.135
2243,Hombre,69.007,159.096
912,Hombre,102.585,194.712
5464,Mujer,73.47399999999998,168.854
3921,Hombre,90.351,176.285
8130,Mujer,68.925,173.19
5004,Mujer,57.652,156.071
400,Hombre,92.455,177.38299999999995
6886,Mujer,54.779,151.548
447,Hombre,98.082,186.207
9632,Mujer,48.899,148.56799999999996
8984,Mujer,55.908,159.007
1459,Hombre,91.992,175.65400000000002
4758,Hombre,87.266,178.14
5093,Mujer,62.359,165.014
842,Hombre,80.791,173.43400000000003
5296,Mujer,69.631,165.638
931,Hombre,81.253,170.49
5519,Mujer,77.079,167.422
7237,Mujer,62.903,159.918
6368,Mujer,54.455,154.274
3371,Hombre,92.684,177.39
8336,Mujer,69.452,175.252
9481,Mujer,70.406,171.58700000000005
1358,Hombre,94.196,187.31
8383,Mujer,67.26,171.123
930,Hombre,78.339,168.602
4116,Hombre,83.756,176.884
5174,Mujer,67.84899999999999,167.69099999999997
8906,Mujer,57.518,158.768
8823,Mujer,67.973,167.755
7855,Mujer,51.784,156.894
7638,Mujer,53.62300000000001,155.722
2863,Hombre,88.03,177.699
9316,Mujer,56.011,158.388
7709,Mujer,53.106,157.618
1999,Hombre,78.882,165.412
1829,Hombre,90.782,175.9
5955,Mujer,67.524,166.36
4424,Hombre,89.831,177.46400000000003
2951,Hombre,100.349,191.439
1080,Hombre,69.321,159.664
4227,Hombre,68.83,164.93900000000005
5821,Mujer,47.549,146.032
4791,Hombre,81.273,168.39700000000005
8538,Mujer,55.843,151.389
4471,Hombre,81.303,175.917
